input_id,source_file,source_index,predicted_class_id,predicted_class_name,predicted_is_defect,confidence,entropy,route,route_reason,production_auto_accept_enabled_for_class,class_auto_accept_threshold,class_margin_threshold,strongest_other_class_probability,predicted_vs_best_other_margin,margin_requirement_met,global_abstain_threshold,top_1_class,top_1_probability,top_2_class,top_2_probability,top_3_class,top_3_probability,inference_latency_ms_estimate,probability_normal,probability_center,probability_donut,probability_edge_loc,probability_edge_ring,probability_loc,probability_near_full,probability_random,probability_scratch,source_height,source_width,source_active_dies,source_failed_dies,source_failed_ratio,preprocessing_transform
record_000007317:0,artifacts/input_files/record_000007317.npy,0,0,Normal,False,0.9981677532196045,0.015145224519073963,AUTO_ACCEPT,Production-enabled class meets the frozen confidence and probability-margin requirements.,True,0.9441788792610168,0.1,0.0012738793157041073,0.9968938739039004,True,0.7762330770492554,Normal,0.9981677532196045,Scratch,0.0012738793157041073,Loc,0.00022716273088008165,5.407300781371305,0.9981677532196045,0.0001404072972945869,1.0719823917426652e-09,0.0001812189439078793,9.569135727360845e-06,0.00022716273088008165,5.483317792875919e-12,3.572881157598573e-10,0.0012738793157041073,37,37,1091,65,0.05957836846929423,"{'source_height': 37, 'source_width': 37, 'resized_height': 96, 'resized_width': 96, 'padding_top': 0, 'padding_bottom': 0, 'padding_left': 0, 'padding_right': 0, 'scale': 2.5945945945945947}"
record_000007920:0,artifacts/input_files/record_000007920.npy,0,3,Edge-Loc,True,0.9999297857284546,0.0007502009393647313,ENGINEER_REVIEW,Class is review-only or confidence does not meet its production auto-accept threshold.,False,,,6.847777694929391e-05,0.9998613079515053,True,0.7762330770492554,Edge-Loc,0.9999297857284546,Edge-Ring,6.847777694929391e-05,Random,1.0816839903782238e-06,5.407300781371305,7.874814488646395e-15,1.888550164912345e-15,3.98126059897308e-10,0.9999297857284546,6.847777694929391e-05,5.559260785048536e-07,2.763749584744346e-08,1.0816839903782238e-06,1.686197026191244e-13,29,29,635,247,0.3889763779527559,"{'source_height': 29, 'source_width': 29, 'resized_height': 96, 'resized_width': 96, 'padding_top': 0, 'padding_bottom': 0, 'padding_left': 0, 'padding_right': 0, 'scale': 3.310344827586207}"
record_000012664:0,artifacts/input_files/record_000012664.npy,0,4,Edge-Ring,True,1.0,3.350035910898441e-07,ENGINEER_REVIEW,Class is review-only or confidence does not meet its production auto-accept threshold.,False,,,1.794304260727131e-08,0.9999999820569574,True,0.7762330770492554,Edge-Ring,1.0,Edge-Loc,1.794304260727131e-08,Normal,7.023993053856259e-10,5.407300781371305,7.023993053856259e-10,1.0455201455049061e-21,2.0665846154203253e-18,1.794304260727131e-08,1.0,6.711930639868857e-19,5.26466975618806e-15,1.0166292720853454e-12,6.311403765064949e-14,63,62,3036,336,0.11067193675889328,"{'source_height': 63, 'source_width': 62, 'resized_height': 96, 'resized_width': 94, 'padding_top': 0, 'padding_bottom': 0, 'padding_left': 1, 'padding_right': 1, 'scale': 1.5238095238095237}"
record_000012688:0,artifacts/input_files/record_000012688.npy,0,4,Edge-Ring,True,1.0,2.8914143967995187e-07,ENGINEER_REVIEW,Class is review-only or confidence does not meet its production auto-accept threshold.,False,,,1.5286499177591395e-08,0.9999999847135008,True,0.7762330770492554,Edge-Ring,1.0,Edge-Loc,1.5286499177591395e-08,Normal,6.562109189367504e-10,5.407300781371305,6.562109189367504e-10,2.368315685299625e-22,3.6109114320112213e-19,1.5286499177591395e-08,1.0,2.1677197237671505e-19,2.6934267058982726e-15,3.9750613824857117e-13,1.7927696274126076e-14,63,62,3036,374,0.12318840579710146,"{'source_height': 63, 'source_width': 62, 'resized_height': 96, 'resized_width': 94, 'padding_top': 0, 'padding_bottom': 0, 'padding_left': 1, 'padding_right': 1, 'scale': 1.5238095238095237}"
record_000019377:0,artifacts/input_files/record_000019377.npy,0,7,Random,True,0.9990917444229126,0.007844917476177216,ENGINEER_REVIEW,Class is review-only or confidence does not meet its production auto-accept threshold.,False,,,0.000614331744145602,0.998477412678767,True,0.7762330770492554,Random,0.9990917444229126,Edge-Loc,0.000614331744145602,Near-full,0.0002934813965111971,5.407300781371305,1.212655380681109e-16,2.97346097806554e-19,3.4008493798864947e-07,0.000614331744145602,1.2263917881227826e-07,1.2546409224045707e-12,0.0002934813965111971,0.9990917444229126,1.0681831912661495e-15,41,41,1349,779,0.5774647887323944,"{'source_height': 41, 'source_width': 41, 'resized_height': 96, 'resized_width': 96, 'padding_top': 0, 'padding_bottom': 0, 'padding_left': 0, 'padding_right': 0, 'scale': 2.341463414634146}"
record_000019491:0,artifacts/input_files/record_000019491.npy,0,4,Edge-Ring,True,0.9999995231628418,6.7063747337670065e-06,ENGINEER_REVIEW,Class is review-only or confidence does not meet its production auto-accept threshold.,False,,,4.244193121394346e-07,0.9999990987435297,True,0.7762330770492554,Edge-Ring,0.9999995231628418,Edge-Loc,4.244193121394346e-07,Normal,8.712629229190583e-11,5.407300781371305,8.712629229190583e-11,5.675570854228025e-23,7.832589376135958e-20,4.244193121394346e-07,0.9999995231628418,6.489482644601682e-20,5.89573745726768e-13,2.639732399681294e-12,2.5847522728864275e-16,38,36,1075,217,0.20186046511627906,"{'source_height': 38, 'source_width': 36, 'resized_height': 96, 'resized_width': 91, 'padding_top': 0, 'padding_bottom': 0, 'padding_left': 2, 'padding_right': 3, 'scale': 2.526315789473684}"
record_000021185:0,artifacts/input_files/record_000021185.npy,0,4,Edge-Ring,True,0.9999972581863403,3.7436519050970674e-05,ENGINEER_REVIEW,Class is review-only or confidence does not meet its production auto-accept threshold.,False,,,2.7052733457821887e-06,0.9999945529129945,True,0.7762330770492554,Edge-Ring,0.9999972581863403,Edge-Loc,2.7052733457821887e-06,Normal,3.308360807530164e-10,5.407300781371305,3.308360807530164e-10,4.633145562777772e-20,1.2942295338673123e-17,2.7052733457821887e-06,0.9999972581863403,1.454163974726251e-18,1.0176227221991851e-10,1.1313989328742835e-10,7.145159132057859e-16,38,36,1075,246,0.2288372093023256,"{'source_height': 38, 'source_width': 36, 'resized_height': 96, 'resized_width': 91, 'padding_top': 0, 'padding_bottom': 0, 'padding_left': 2, 'padding_right': 3, 'scale': 2.526315789473684}"
record_000021190:0,artifacts/input_files/record_000021190.npy,0,4,Edge-Ring,True,0.99998939037323,0.00013258856779430062,ENGINEER_REVIEW,Class is review-only or confidence does not meet its production auto-accept threshold.,False,,,1.0653041499608662e-05,0.9999787373317304,True,0.7762330770492554,Edge-Ring,0.99998939037323,Edge-Loc,1.0653041499608662e-05,Normal,1.6725995588551257e-10,5.407300781371305,1.6725995588551257e-10,7.748932961678451e-22,4.625623453705853e-19,1.0653041499608662e-05,0.99998939037323,6.936920664555983e-19,3.65203041419182e-11,1.9806272941180758e-11,2.3546954774341993e-16,38,36,1075,271,0.25209302325581395,"{'source_height': 38, 'source_width': 36, 'resized_height': 96, 'resized_width': 91, 'padding_top': 0, 'padding_bottom': 0, 'padding_left': 2, 'padding_right': 3, 'scale': 2.526315789473684}"
record_000021400:0,artifacts/input_files/record_000021400.npy,0,4,Edge-Ring,True,0.9999985694885254,2.1109817680553533e-05,ENGINEER_REVIEW,Class is review-only or confidence does not meet its production auto-accept threshold.,False,,,1.4633803857577732e-06,0.9999971061081396,True,0.7762330770492554,Edge-Ring,0.9999985694885254,Edge-Loc,1.4633803857577732e-06,Normal,8.851517296903921e-10,5.407300781371305,8.851517296903921e-10,4.477636092293943e-21,7.531892550613711e-19,1.4633803857577732e-06,0.9999985694885254,1.3273911012269866e-18,7.366261246810613e-12,1.5753658794137593e-11,6.185632797869899e-16,38,36,1075,220,0.20465116279069767,"{'source_height': 38, 'source_width': 36, 'resized_height': 96, 'resized_width': 91, 'padding_top': 0, 'padding_bottom': 0, 'padding_left': 2, 'padding_right': 3, 'scale': 2.526315789473684}"
record_000021411:0,artifacts/input_files/record_000021411.npy,0,4,Edge-Ring,True,0.9999985694885254,2.1197831301833503e-05,ENGINEER_REVIEW,Class is review-only or confidence does not meet its production auto-accept threshold.,False,,,1.4660539591204724e-06,0.9999971034345663,True,0.7762330770492554,Edge-Ring,0.9999985694885254,Edge-Loc,1.4660539591204724e-06,Normal,3.6991720797630023e-09,5.407300781371305,3.6991720797630023e-09,1.0300999075335908e-19,5.764076990448684e-18,1.4660539591204724e-06,0.9999985694885254,5.932275069024604e-18,2.5725640367957325e-11,5.743443567962636e-11,2.0009328022881512e-15,38,36,1075,212,0.1972093023255814,"{'source_height': 38, 'source_width': 36, 'resized_height': 96, 'resized_width': 91, 'padding_top': 0, 'padding_bottom': 0, 'padding_left': 2, 'padding_right': 3, 'scale': 2.526315789473684}"
record_000021466:0,artifacts/input_files/record_000021466.npy,0,4,Edge-Ring,True,0.9999996423721313,6.100567588873673e-06,ENGINEER_REVIEW,Class is review-only or confidence does not meet its production auto-accept threshold.,False,,,3.8873284324836277e-07,0.9999992536392881,True,0.7762330770492554,Edge-Ring,0.9999996423721313,Edge-Loc,3.8873284324836277e-07,Normal,2.0852730653331264e-10,5.407300781371305,2.0852730653331264e-10,1.0916942316367328e-21,2.5826903101426798e-18,3.8873284324836277e-07,0.9999996423721313,5.531833935957963e-19,1.2347448367575065e-12,1.214010662831111e-11,5.456000099412703e-15,38,36,1075,194,0.18046511627906978,"{'source_height': 38, 'source_width': 36, 'resized_height': 96, 'resized_width': 91, 'padding_top': 0, 'padding_bottom': 0, 'padding_left': 2, 'padding_right': 3, 'scale': 2.526315789473684}"
record_000021500:0,artifacts/input_files/record_000021500.npy,0,4,Edge-Ring,True,0.9999995231628418,7.660581104573794e-06,ENGINEER_REVIEW,Class is review-only or confidence does not meet its production auto-accept threshold.,False,,,4.945802061229188e-07,0.9999990285826357,True,0.7762330770492554,Edge-Ring,0.9999995231628418,Edge-Loc,4.945802061229188e-07,Normal,1.0530505634154252e-10,5.407300781371305,1.0530505634154252e-10,4.578509818837343e-22,1.555119714127123e-19,4.945802061229188e-07,0.9999995231628418,1.500916378044113e-19,1.1225399949854609e-12,3.734609409916656e-12,1.978580688071074e-16,38,36,1075,202,0.18790697674418605,"{'source_height': 38, 'source_width': 36, 'resized_height': 96, 'resized_width': 91, 'padding_top': 0, 'padding_bottom': 0, 'padding_left': 2, 'padding_right': 3, 'scale': 2.526315789473684}"
record_000021521:0,artifacts/input_files/record_000021521.npy,0,4,Edge-Ring,True,0.9999997615814209,3.567829025996616e-06,ENGINEER_REVIEW,Class is review-only or confidence does not meet its production auto-accept threshold.,False,,,2.1649742620866164e-07,0.9999995450839947,True,0.7762330770492554,Edge-Ring,0.9999997615814209,Edge-Loc,2.1649742620866164e-07,Normal,3.0346566926020557e-10,5.407300781371305,3.0346566926020557e-10,1.4630067430773897e-21,1.4976975597867278e-18,2.1649742620866164e-07,0.9999997615814209,2.872550113212899e-19,9.941326191073574e-13,1.2743464269937554e-11,1.492982390412798e-15,38,36,1075,205,0.19069767441860466,"{'source_height': 38, 'source_width': 36, 'resized_height': 96, 'resized_width': 91, 'padding_top': 0, 'padding_bottom': 0, 'padding_left': 2, 'padding_right': 3, 'scale': 2.526315789473684}"
